lemma,definition
جَوْد,المَطَر الغزير الذي لا مَطَرَ فوقه.
فُرُط,من الأُمور: المُجَاوَزُ فيه حَدُّه.
نَعْش,سريرٌ يُحمَلُ عليه الميِّت.
مَجْرَى,من النَّهر: مَسِيلُهُ.
لَعْطَاء,الشَّاةُ الَّتِي في عرض عنقها سوادٌ وسائرُها أَبيض.
مَجَنَّة,الجُنُون.
ذَلاَقَة,مصدر لفعل ذَلَق
حَلاَّفَة,مبالغة للفعل حَلَفَ
مَزْمُور,آلة من خشب أَو معدن تنتهي قصبتها ببوق صغير.
كَاسِيَة,مؤنَّث الكاسي.
مُحُوضَة,مصدر لفعل مَحُض
حِيَاد,عَدَمُ الميْل إِلى أي طرفٍ من أَطرافِ الخُصومة.
نَزِيغَة,الكَلِمَة السَّيئة.
دَجَاج,جمع للاسم دَجَاجَة
سَنِيم,الرَّجُل العالي القدر.
ذَرُور,ما يُذَرُّ في العَيْن وعلى الجرح من دَوَاءٍ يابس.
أَفْرِقَة,جمع للاسم فَرِيق
مؤْتَفِكَات,الرِّياح تَخْتَلِف مهابُّها.
قَتُوبَة,من الإِبل: الَّتِي توضع الأَقتاب على ظُهُورِهَا.
رَبِذ,صفة مشبهة لفعل رَبِذ
ثَفْل,مصدر لفعل ثَفَلَ
أَسِيف,الأَجِير.
أَعْجَمِيّ,من ليس بعربيّ وإن أفصح بالعجمية؛ واحدُ العَجَم.
هَمُوس,الأَسَد الخفيّ الوَطْءِ.
لَطُوخ,ما يُلْطَخ به الشَّيْءُ ويغيِّر لونَه.
دَنَأ,مصدر لفعل دَنِئ
قُصْوَى,مؤنَّث الأَقصى.
كَلِع,صفة مشبهة لفعل كَلِعَ
طَلَبَات,في قانون المرافعات: حاصل ما يتقدَّم به الخَصْم إِلى المحكمة مُلْتَمِساً الحكمَ به في الدَّعْوى.
نَوْط,العِلاوة الَّتِي توضع بين العِدْلين يتعلقان بها.
غَاطِش,صفة مشبهة لفعل غَطَش
خُتُور,مصدر لفعل خَتَر
رَوْش,مصدر لفعل رَاش
خُبُوّ,مصدر لفعل خَبَا
زُبْيَة,الرَّابِيَة لا يعلوها الماء.
عَوَّاد,صانع العيدان.
مَنَاجِيد,جمع للاسم مِنْجَاد
قُحُوحَة,مصدر لفعل قَحّ
ضَرَّاء,الشِّدَّة والفقر والعذاب.
