lemma,definition
مَقَاهٍ,جمع للاسم مَقْهَى
كَمْي,مصدر لفعل كَمَى
عِفَار,جمع للاسم عُفْر
الخَافِي,الجنّ.
عَسُوف,مبالغة للفعل عَسَف
خُلاَّن,جمع للاسم خَلِيل
يَحْمُوم,الشَّديد الحَرارة.
ذَبِر,صفة مشبهة لفعل ذَبِر
سِتَار,ما يُسْتَر به.
مِنْطِيق,البليغ.
دِبْل,الثُّكْل.
جَدّ,أَبو الأَب، وأَبو الأُمّ.
سِجَاف,السِّتْر.
قَوَايَة,القَفْر من الأَرْض.
فُوطِيّ,من الأَلوان: ما كان أَزرقَ غير صافي الزُّرْقة.
سَجَّادَة,الطِّنفِسة. [البِسَاط].
هَلّ,الرَّقيق من الثِّياب.
دِرَاما,حكايةٌ لجنب من الحياة الإِنْسَانية يعرضُها ممثِّلون يقلدون الأَشخاص الأَصليين في لباسهم وأَقوالهم وأَفعالهم.
مَرْفُوع,من الحديث: ما أُضيف إِلى النَّبِيّ صَلَّى اللهُ عليه وسلَّم قولاً أَو فعلاً.
أَسْوَان,صفة مشبهة لفعل أَسِيَ
مَخْبَرَانِي,الحَسَن المَخْبَر.
رَوَادِف,جمع للاسم رَادِفَة
حَمَاس,الشِّدَّة والشَّجاعة.
خَرَافَة,مصدر لفعل خَرُف
أَجْوَح,الوَاسِع مِنْ كُلِّ شَيْءٍٍ.
فُرْط,سَفْح الجَبَل.
تَمَاسُك,تَرَابُط أَجزاءِ الشَّيْءِ حِسِّيًّا أَو معنويًا. ومنه التماسُك الاجتماعي، وهو ترابط المجتمع الواحد.
بُرْم,جمع للاسم بُرْمَة
لُوَمَة,الذي يُكثر من لَوْم النَّاس.
ذَنَن,القَذَر والثُّفْل.
تِرْمُومِتْر,مقياس لدرجة الحرارة، وهو جهاز لبيان درجة الحرارة ويسجلها عادة بالقياس المئوي.
وِزَام,السُّرْعة.
غَطَارِيف,جمع للاسم غِطْرِيف
مُقَدَّمَة,مِنْ كلِّ شيءٍ: أَوَّلُه.
خَنَاب,من الرِّجَال: الطَّويلُ الضَّخْم
مَشْمُول,من هَبَّت عليه ريح الشَّمال.
جُمُع,جمع للاسم جِمَاع
عَذِيرَة,الطَّعَام يُصْنَع في الخِتان.
أَسْر,شِدَّة الخَلْق.
أَخَاضِر,الذَّهَبُ واللَّحْم والخَمْر.
جَيْئَة,ما يجيءُ من الجُرْح من دمٍ أَو قَيْح.
زِبَعْرَى,السَّيِّئ الخُلُق.
جَارِح,الكاسب.
مُوَاءَمَة,المُوافقة.
جَمَّام,مبالغة للفعل جَمَّ
صُعْلُوك,الفقير.
رِبْقَة,واحدة الرِّبق.
سَوَابِيّ,جمع للاسم سَابِيَاء
فِلْذ,كَبِدُ البَعِير.
مِحْجَمَة,أَداة الحَجْم.
طُحَار,الزَّحير يعلو فيه النَّفَس ويشتدّ.
رَعْم,مصدر لفعل رَعَم
قُذُفَات,جمع للاسم قُذْفَة
قُمْرِيّ,ضَربٌ من الحمام مطَوّق حسن الصَّوت.
زِنَاد,أَداةٌ تَدُقُّ الزَّنْدةَ فتشتعل فينفجر البارود.
وَخَّاط,مبالغة للفعل وَخَط
خُشْنَة,مصدر لفعل خَشُن
رَكَّاض,مبالغة للفعل رَكَض
مَحَاطّ,جمع للاسم مَحَطّ
دَالِع,الأَحْمَق.
أَقْدَاح,جمع للاسم قَدَح
جِيَضَّى,مِشْيَةٌ فيها تبختر واخْتِيال.
مَآسٍ,جمع للاسم مَأْساة
وَدَاعَة,مصدر لفعل وَدُع
ثُمَّة,القَبضة من الثُّمام.
خَاطِف,السَّهْمُ الذي يُخْطِئُ الهَدَف.
صَغِيرَة,الذَّنب القليل.
مِعْقَاص,الشَّاةُ المعْوَجَّةُ القَرْنَيْن.
جِهَات,جمع للاسم جِهَة
مَصَاد,مكان الصَّيد.
لَعَّاب,الكثير اللَّعِب.
فَشِق,صفة مشبهة لفعل فَشِق
زَحْر,مصدر لفعل زَحَر
مُعْطَيَات,في الفلسفة والمنطق: قضايا مسلَّمةٌ يُتَوصَّلُ بها إِلى علم قضايا مجهولة.
قَرْقَرَة,الهدير.
كُدُورَة,مصدر لفعل كَدُر
عَكَّار,مبالغة للفعل عَكَر
غَاشِيَة,الغِطاء.
شُجْنَة,الغصن المشتبك.
آيِين,العُرْف المتَّبَع في جماعة من النَّاس.
عُزَّى,صَنَمٌ كان لبني كِنانة وقريش.
عَقَبَة,المَرْقَى الصَّعْب في الجبال.
غَبِر,صفة مشبهة لفعل غَبِر
عُرّ,الجَرَب.
لَصَق,مصدر لفعل لَصِق
كَامِح,الذي يَرُوض الخيلَ ويُدَرِّبُها.
مِحْلَج,آلةُ الحَلْجِ.
بَنْزَهِير,يطلق في مصر على اللَّيْمُون الحامض. وهي كَلِمَة فارسية الأَصل معناها: المضادّ للسّمّ.
غَذّ,مصدر لفعل غَذّ
خَزْع,مصدر لفعل خَزَع
صِيَام,الصَّوم.
بَصْرَة,الأَرْض الغليظة.
عُكَّاش,ذَكَر العنكبوت.
بَيْزَرة,حرفة البَيزَار.
نَقَز,اللَّقَب.
زِيَم,جمع للاسم زِيمَة
نَقَرَى,الدَّعوة الخاصَّة.
شَعْرِيَّة,فتائل من عجين البُرِّ تجفف وتطبخ.
صَقِيع,ندًى يتجمّد على سطح الأَرْض.
عَلاَم,جمع للاسم عَلاَمَة
حَوَانِيت,جمع للاسم حَانُوت
عُكُوب,مصدر لفعل عَكَب
خَوَامِش,جمع للاسم خَامِشَة
جَلاَّء,الأَمْر الشَّديد، والخطب العَظِيم.
أَهْبَاء,جمع للاسم هَبَاء
دَخَاخِيل,جمع للاسم دُخَّل
أَلْمَى,صفة مشبهة لفعل لَمَى
عَتْر,مصدر لفعل عَتَر
بُدَد,جمع للاسم بُدَّة
أَفَلّ,من السُّيوف: الذي به فُلول.
كِنْدَة,القِطْعَة من الجَبَل.
زَبَانِيَة,أَصلها الشُّرَط. وسُمِّيَ بها بعضُ الملائكة لدَفْعِهم أَهلَ النَّار إِليها.
عُرْمَة,الكُومَةُ من القَمْح المَدُوس الذي لم يُذَرّ.
مَزَارَة,مصدر لفعل مَزُر
هِلْقَام,الوَاسِع الشِّدقين.
مَشَاكِير,جمع للاسم مِشْكَار
عَنٍ,صفة مشبهة لفعل عَنِي
ذِمِّيّ,المُعاهد الذي أُعْطِيَ عهْدًا يأْمَنُ به عَلَى مالِه وعرضه ودينِه.
نَوَابِع,جمع للاسم نَابِعَة
سَمَّان,بائِع السَّمْن.
مُصَاص,ما يُمَصُّ من الشَّيْءِ.
هِلْيَوْن,جنسُ نبات من الفَصِيلة الزَّنبقية، فيه نوع زراعيٌّ مشهور يؤكل، وتسميه العامَّة: [كِشْك أَلماس] في مصر، وفيه أَنواع للتَّزْيِين، وأَنواع بريّة يتبقَّلُونها ويستعملونها، كالهِلْيَون الزِّراعي. والهِلْيَوْنَة: واحدة الهِلْيَوْن.
مَخَاضِد,جمع للاسم مِخْضَد
لَوَّاء,جنس طير من رتبة المتسلِّقات وفصيلة النَّقَّاريات، فيه نوعٌ معروفٌ في الشَّام في قدّ الأُطْرُغُلَّة، اسمه فيها: أَبو لُوَى: وهو يلوي بعنقه إِلى الوراء وإِلى الجانبين بتُؤَدة، كأَنَّه حَيَّةٌ تتَلَوَّى.
جُنَاب,ذاتُ الجَنْبِ: وهي -كما زَعَم بعضُ أَطبّاء العَرَب- قَرحةٌ تُصيب الإِنْسان في داخل جنْبه. وفي الطِّبّ الحديث: التهابٌ في الغشاء المحيط بالرِّئة.
غَبْوَة,الغَفْلة.
مِجَشّ,آلة الجَشِّ من رَحىً وغيرها.
لَيْغ,مصدر لفعل لاَغ
وُعُوف,مصدر لفعل وَعَف
قَصَبَة,جَرْفُ الحصن.
نَحْت,الطَّبيعة والأَصل.
لُغَفَاء,جمع للاسم لَغِيف
عَمَه,في الطِّبّ: فِقدان مَلَكَةِ الإِدراك بالحِسِّ، كالعجز عن التمييز بين أَشكال الأَشياء والأَشخاص وطبيعتها.
حَفَدَة,جمع للاسم حَافِد
نِكَاح,مصدر لفعل نَكَح
جَحْمَرِش,من النِّسَاء: الثَّقيلةُ السَّمِجَة.
عَاقِلَة,مؤنَّث العَاقِل. وهي عَاقِل، وهنَّ عَوَاقِل.
رَاصِدَات,جمع للاسم رَاصِدَة
كَوْسَاء,الأَرْض كثيرة النَّبت الملتفّ
حَسَائِف,جمع للاسم حُسَافَة
حَلاَّء,صفة مشبهة لفعل حَلَّ
بِطِّيخ,نبات عُشْبِيّ حَوْليّ منسطح يُزْرع لثماره في المناطق المُعْتَدِلة والدَّافئة، وهو من الفَصِيلة القرعية، وثمرته كبيرة كروية أَو مستطيلة، ومنه أَصناف كثيرة. وبلغة الحجاز: الطِّبِّيخ.
آبُنُوس,شَجَر ينبُت في البلاد الحارَّة كالحبشة والهند، له ثمر كالعنب، وأوراقه كأوراق الصنوبر، خشبه أَسود صُلْب، ويُصنع منه بعض الأدوات والأواني والأَثاث.
صِنْدِد,الشَّرِيف الشُّجاع.
سَرَاوِيلاَت,جمع للاسم سَرَاوِيل
تَغَب,مصدر لفعل تَغِبَ
مَنَادِل,جمع للاسم مَنْدَل
نَاسِخ,مَنْ صَنْعَتُه نَسْخُ الكُتب.
غُصَيْن,الشُّعْبَةُ الصَّغِيرَة من الغصن. (تصغير الغُصْن).
نَشْع,مصدر لفعل نَشَع
نَهْبَل,الشَّيْخ.
ثَغَب,ما يذوب من الجمد.
بَلَج,مصدر لفعل بَلِج
نَدْهَة,الصَّوت.
عَتَبَان,مصدر لفعل عَتَب
فِهْر,الحَجَر. (يُذَكَّر ويُؤَنَّث).
حَاتِنَة,صفة مشبهة لفعل حَتِنَ
بَادّ,باطنُ الفخذ الذي يلي السَّرْج.
هَدْل,مصدر لفعل هَدَل
مَلْقَط,المعدِن.
مَقَادِير,جمع للاسم مِقْدَار
نِزَاق,من الحيوان: الصَّعبة الانقياد.
نُقْز,البِئر.
يَدِيَّة,مُؤَنَّث يَدِيّ.
رَيِّحَة,مؤنَّث رَيِّح.
عَرَص,مصدر لفعل عَرِص
مَوْتُونَة,المَرْأَةُ إِذا كانت أَديبة وإِن لم تكن حَسناء.
نَمِلَة,صفة مشبهة لفعل نَمِل
رَوَاحِل,جمع للاسم رَاحِلَة
حِيَاصَة,حزامُ الدَّابَّة.
مُثَجَّر,من الخيزران: ذو الأَنابيب.
حَقْنَة,وجعٌ في البَطْن.
شُحُوط,مصدر لفعل شَحَط
أَرَاوِيّ,جمع للاسم أُرْوِيَّة
عُقْرَة,العُقْم.
مَلأَكَة,الرِّسالة.
مَضّ,الحاد المؤلم.
دَلَس,أَرضٌ أَنْبتت بعد ما أُكلت.
قَوْمَس,السَّيِّد الشَّرِيف.
مَيْر,مصدر لفعل مَار
زُكَام,التهابٌ حادٌّ بغشاءِ الأَنْفِ المخاطيِّ يتميَّزُ غالبًا بالعُطاسِ والتَّدْميع، وإِفرازاتٍ مُخَاطِيةٍ مائيةٍ غزيرة من الأَنْف.
زِنْج,جيلٌ من السّودان يتميز بالجلد الأَسود، والشَّعْر الجعد، والشّفة الغليظة، والأَنْف الأَفطس، يسكنم حول خطّ الاستواء، وتمتدُّ بلادهم من المغرب إِلى الحبشة، وبعض بلادهم على نيل مصر.
دُحُض,جمع للاسم دَحُوض
نُخَبَة,المختار مِنْ كُلِّ شَيْءٍ.
صُوفَانِيّ,نسبة إِلى الصُّوف على غير قياس.
أَسْحَال,جمع للاسم سَحْل
الشَّاكِي,مَنْ يبدي شَكْوَاه.
دُسْمَة,ما يُسَدُّ به خَرْقُ السِّقاء ونحوِه.
لَعْمَظ,الحَرِيص الشَّهْوانُ للطَّعام.
خِنْجَر,السّكِّين، أَو السّكِّين العَظِيمة.
رَخَاء,سَعة العَيْش وحسنُ الحال.
هَشُور,الشَّجَرة يَسقط ورقُها سَريعًا.
هَمَيْسَع,القويُّ الذي لا يُصْرَع.
لِهْزِمَة,عظمٌ ناتئ في اللَّحْي تحتَ الحَنَك أو الأُذْنِ. وهما لِهْزِمتان.
زُفُوف,مصدر لفعل زَفّ
عُثَث,جمع للاسم عُثَّة
مُعَارَضَة,في القضاء: طريقة الطَّعن في الحكم الغيابي.
أغْسَاس,جمع للاسم غُسّ
أَسْمَنْت,مسحوق يتكون من محروق الحجر الجيري والطَّفْل، يضاف لناتجهما نسبة صغيرة من الجبس، ويستعمل في البناء، ومنه أَنواع أخرى تستعمل في أغراض شتى.
شَطِيرَة,خُبْزَة تُشَقُّ ويوضع فيها الإِدام.
شَوَّاء,محترف الشِّواء.
بُرْصُوم,ما يُغَطَّى به رأْسُ القارورة ونحوها.
نَمّ,صفة مشبهة لفعل نَمَّ
أَجْلاَس,جمع للاسم جَلْس
زِبَال,ما تحمله النَّملة بفِيها.
مَصُوغَة,صفة مشبهة لفعل صَاغ
مَعْزِيّ,البَخيلُ الذي يَجْمَع ويَمْنَع.
وَاعِر,المكان الحَزْن: ضدُّ السَّهل.
زُجَل,جمع للاسم زُجْلَة
مِيْطَان,موْضعٌ يُوطَنُ لتُرْسَل منه الخيل في السِّباق.
قُلاَب,داءٌ يأخذُ في القَلْب.
فَرْوَة,الجلدةُ ذاتُ الشَّعْر.
قَوَّاد,السَّاعي بين الرَّجُلِ والمرأَة للفجور.
طَامِس,الدَّارس من الآثار والرُّسُوم.
قَرَس,الجامد مِنْ كلِّ شيءٍ.
تُكَأَة,ما يُتَّكَأ عليه من عصًا وسواها كالقَوْس والسَّيْف.
وُرُوس,مصدر لفعل وَرَس
بَزَّار,بائع البُزُور.
حَالُوم,لبنٌ يَغْلُظُ فيصيرُ شبيهاً بالجبن الطريّ وليس به.
طِبَق,جمع للاسم طِبَقَة
مُوْمَاة,المفازة الوَاسِعَة.
حِرَار,جمع للاسم حَرَّة
أَخِضَّة,جمع للاسم خَضَاض
أَوْشِحَة,جمع للاسم وِشَاح
عُلاَك,ما يُعْلَكُ ويُمْضَغ.
جَرَّاد,اللصّ الذي يعرِّي النَّاسَ من ثيابهم وينهبها.
أَعْلاَج,جمع للاسم عِلْج
عُمْدَة,ما يُعْتَمد عليه.
زَوَاخِر,جمع للاسم زَاخِر
أَرْضُون,جمع للاسم أَرْض
أَيَامِن,جمع للاسم أَيْمَن
ضُحِيّ,مصدر لفعل ضَحَا
مِرْدَاة,النَّاقة الصُّلبة.
هَيْع,مصدر لفعل هَاع
إِيدْرُوجين,غازٌ لا لَون له ولا طعم ولا رَائِحَة، يتَّحِد مع الأكسيجين بنسبة خاصة، فيكوِّن الماء. ويسمى هدروجين.
فَرْم,مصدر لفعل فَرَم
قَلاَّء,مَن صناعته القَلْي.
رُوْحَانِيّ,ما فيه الرُّوح.
حَمْلَة,مصدر لفعل حَمَلَ
هَمْء,مصدر لفعل هَمَأ
شَارِدَة,مؤنَّث شَارِد.
نَحْي,زِقّ السَّمن.
دَرَامِك,جمع للاسم دَرْمَك
خَوَابّ,جمع للاسم خَابّ
ضَنّ,مصدر لفعل ضَنّ
جَنَايا,جمع للاسم جِنَايَة
خَتْن,مصدر لفعل خَتَن
فُوْفَل,شَجَر من النَّخْلِيَّات له ثَمَرٌ طِبِّيٌّ.
مَنَشّ,ما انحسر عنه الماء من سَاحل البَحْر أَو النَّهر.
حَبِرَة,صفة مشبهة لفعل حَبِرَ
رُعَاة,جمع للاسم الرَّاعِي
قَوٍ,صفة مشبهة لفعل قَوِي
فَعَال,الفِعل حسنًا كان أَو قَبِيحًا إِذا كان من فاعل واحد.
عَوْكَل,المرأَةُ الحَمْقَاء.
حِقَق,جمع للاسم حِقَّة
صَبْحَاء,صفة مشبهة لفعل صَبِح
جَنِب,صفة مشبهة لفعل جَنِب
بَلاَسِم,جمع للاسم بَلْسَم
نِقَار,جمع للاسم نُقْرَة
صَقَالِبَة,جِيلٌ من النَّاس كانت مساكنهم إِلى الشّمال من بلاد البُلْغار وانتشروا الآن في كثير من شرقي أوربة وهم المسمَّوْن الآن بالسُّلاف.
مَلْمَلَى,السَّرِيعَةُ من الدَّوَابّ.
لَدِيدَان,صَفحَتا العنق دون الأُذُنين.
رُبَيْس,الدَّاهِيَة.
غَمَق,النَّدَى.
نَجِيرَة,سَقيفةٌ من خَشَب لا يخالطه غيره.
شُقَق,جمع للاسم شُقَّة
قَبْح,مصدر لفعل قَبَح
إِلْقَة,مُؤَنَّث الإِلْق.
يَحَامِير,جمع للاسم يَحْمُور
لُزُوجَة,تماسُكُ أَجزاء المادَّة السَّائِلة بعضها ببعض تماسُكًا يقاوم سيولَتَها بحيث لا يتغير شكلها، كالقَطِران والعَسَل وغيرهما.
مَسِيل,مجرى الماء وغَيره.
عَنْكَبُوتَات,جمع للاسم عَنْكَبُوت
لَهِيف,المظلوم المضطَرّ يستغيثُ ويتحسّر.
قِطَبَة,جمع للاسم قُطْب
نَاقِبَة,قَرحةٌ تخرج في جَنب الإِنْسَان تهجُم على الجوف، رأْسُها من داخل.
مَرَض,كلُّ ما خَرَج بالكائن الحيّ عن حدِّ الصَّحَّة والاعتدال من عِلَّة أَو نفاقٍ أَو تقصير في أَمر.
خَنَفَة,القِطعة من الأُتْرُجّ ونحوه.
عَلَسِيّ,الرَّجُل الشَّديد.
إِمَامِيَّة,فرقة من الشِّيعة تقول بإِمامة عليّ واثني عَشَر من ذريته دون غيرهم.
خَرَاعِيب,جمع للاسم خُرْعُوب
مَحَثَّة,إِذا حُثَّ الجَوَادُ وتَابَعَ الجَرْيَ ووالاهُ.
أَيْقَاظ,جمع للاسم يَقُظ
غَلِيظ,خلاف الرَّقيق.
جَذّ,مصدر لفعل جَذَّ
سُرَاعَة,مصدر لفعل سَرُع
زَكَن,مصدر لفعل زَكِن
مَنَافِج,جمع للاسم مِنْفَج
نَكْء,مصدر لفعل نَكَأ
نَجَز,مصدر لفعل نَجِز
إِمْر,المُنْكَر.
شَنْف,القُرْط. وقد يخصَّص الشَّنْف بما يُعلّق في أَعلى الأُذُن، والقُرْط بما يُعلَّق في أَسْفلِها.
مَدَاوِك,جمع للاسم مَدَاك
مَهَاة,البقرة الوحشية.
مَظْلِمَة,ما يشكو منه المظلوم، وهو ما أُخذ منه ظُلْمًا.
فَرُود,من الأَشياء: الفَرد.
مَسَاوِط,جمع للاسم مِسْوَط
ظِهَارَة,من البِسَاط: وجهه الذي لا يَلي الأرض.
نَقَايَا,جمع للاسم نُقَايَة
أُسُون,مصدر لفعل أَسَنَ
أَذْوَاب,جمع للاسم ذَوْب
خَثْوَة,أَسفلُ البَطْنِ إِذا كان مُسْتَرْخِيًا.
رُوَال,اللُّعَاب.
فَجْأَة,ما يُبَاغِت الإِنْسَان.
أَرَجّ,صفة مشبهة لفعل رَجّ
رُيُوع,مصدر لفعل رَاع
ضِجْعَة,هَيْئَة الضُّجُوع.
لَمًى,مصدر لفعل لَمَى
نَاق,جمع للاسم نَاقَة
صُقُع,جمع للاسم صِقَاع
مَعْيُون,من الماء: الظَّاهر الذي تراه العَيْن يجري على وجه الأَرْض.
شَعَن,مصدر لفعل شَعِن
طِبْن,ما على وَجه الأَرْض من الحَطَب.
حِلّ,المقيم في بلد مُعَيَّن.
جَرْدَل,السَّطل.
نُدَدَاء,جمع للاسم نَدِيد
دُلُوج,مصدر لفعل دَلَج
هَابٍ,صفة مشبهة لفعل هَبَا
رَابِغ,وَادٍ بين مكّة والمدينة قُرب ساحل البَحْر الأَحْمَر، وهو من مواقيت الإِحرام بالحجّ.
مَلِيء,صفة مشبهة لفعل مَلُؤ
حُمَلاَء,جمع للاسم حَمِيل
لَقَفَان,مصدر لفعل لَقِفَ
مِطْرَق,آلة من حديدٍ ونحوِه يُطْرَقُ بها الحديد ونحوُه من المعادن.
قَمْو,مصدر لفعل قَمَا
بَعَل,مصدر لفعل بَعِل
عُصُوب,مصدر لفعل عَصَب
أُذَيْنَة,آلة السَّمْع.
مِتْر,وحدةٌ للقياس في النِّظَام العشري، وهي فرنسية في الأَصل ثم استعملها أَكثر الأَمم، ويساوي المتر 39.37 بوصة تَقْرِيبًا. وأَجزاء المتر: الدِّسيمتر أَي عُشْرُ المِتْر. والسَّنتيمتر أَي جُزْء من مئة. والمليمتر أَي جُزْء من أَلف. أَما أَضعاف المتر فهي: الدِّيكا متر أَي عشرة أَمتار. والهِكتو متر أَي مئة متر. والكيلو متر أَي أَلف متر.
مُحَقَّرات,الصَّغَائِر. واحدتها: مُحَقَّرة.
فَائِج,الجَمَاعَة من النَّاس.
حَبْلاَن,اللَّيْل والنَّهَار.
ثُمُل,جمع للاسم ثِمَال
عَشِيَّة,الوقت من زوال الشَّمْس إِلى المغرب. أَو من صَلاة المَغْرِب إِلى العَتَمة.
ضُبْنَة,الزَّمَانة.
لَجَمَة,من الوادي: فُوَّهَتُه.
مَرَافِع,عِنْد المسيحيين: أَيام معلومة تتقدم الصَّوم.
مُؤْنِس,صفة مشبهة لفعل آنَس
حَضْرَمُوت,قطر يمني بين عَدن وظَفار.
غَنّ,مصدر لفعل غَنّ
بُقَّر,جمع للاسم بَاقِر
خَلاَئِب,جمع للاسم خِلابَة
جُثَّة,الجسَد المَيِّت.
شَهْدَانَق,بزر شَجَرَة القِنَّب، ويسمى في مصر بالشَّرَانق، أَو الشَّنارق.
مُحَال,ما اقْتضى الفساد من كلِّ جهةٍ كاجتماع الحركة والسُّكون في جسم واحد.
تِفَفَة,جمع للاسم تُفّ
دَيَاجٍ,جمع للاسم دَيْجُوج
أُحْبُوشَة,الجَمَاعَة من النَّاس اختلفت أَجناسهم.
نَكْع,مصدر لفعل نَكَع
لُسُس,الحمَّالون الحُذَّاق.
حُوْش,الإِبل المتوحِّشة.
جَفْر,ما عَظُمَ واسْتَكْرَشَ من ولد الشَّاء والمِعزَى.
دِيَسَة,جمع للاسم دِيس
صَمْدَة,الصَّخرة الرّاسية في الأَرْض في استواء أَو ارتفاع قلبل.
حَجِنَة,صفة مشبهة لفعل حَجِنَ
كَاسِد,صفة مشبهة لفعل كَسَد
هَزْء,مصدر لفعل هَزَأ
خَزَّاز,صانعُ الخَزِّ.
وَضْء,مصدر لفعل وَضَأ
دَفَاتِر,جمع للاسم دَفْتَر
قُرُب,جمع للاسم قِرَاب
ضَهْوَاء,المَرْأَة تضاهي الذَّكر في عدمِ الحَيْض أَو الحمل أَو الولادة، لأَنَّ أَعضاء تناسلها لاتزال في طورها الجنينيّ.
مَزْق,مصدر لفعل مَزَق
أَطَانِيب,جمع للاسم إِطْنَابَة
أَعْمِدَة,جمع للاسم عَمُود
قُرَنَاء,جمع للاسم قَرِين
جُبَّاء,الجَبَان.
نَغَل,مصدر لفعل نَغِل
القَاصِي,من النَّاس: المُتَنَحِّي البعيد.
سُبْرُوت,الفقير والمسكين.
عِسْلاَج,ما لاَنَ واخضرَّ من قضبان الشَّجَر والكَرْم أَوَّلَ ما ينبت.
دَرَافِيس,جمع للاسم دِرْفَاس
غَفَا,التِّبْنُ في بَيْدره.
جُزُز,جمع للاسم جَزُوز
خِبْثَة,الحرام.
اِبْن,الوَلَد الذَّكَر. وتكني العرب بابن كَذا عن مُلازمه، فتقول: ابن الحَربْ: للشجاع... وبابن كَذا عن كثير من الحيوان: كابن آوى. وابن لبون... .
حَوْقَلَة,القارورة الطَّوِيلَة العُنُق تكون مع السَّقَّاء.
لَبَّاس,كثير اللَّبْس والتَّدْلِيس.
طَلاَوَة,الحُسْنُ والرَّوْنَق.
مِيثَرَة,الثَّوب الذي تُجلَّل به الثِّياب فيعلوها.
خُطَّام,جمع للاسم خَاطِم
مَوْضُوعَة,من الأَحاديث: المُخْتَلَقَة.
أَنْجُم,جمع للاسم نَجْم
ظَهَائِر,جمع للاسم ظِهَارَة
مَزَابِر,جمع للاسم مِزْبَر
أَفْلَج,صفة مشبهة لفعل فَلِج
قَائِبَة,الفَرْخ.
سَلْبَى,جمع للاسم سَلِيب
عَصْلَب,القويّ الشَّديد الخَلْقِ، والعظيم من الرِّجَال.
أُشَر,جمع للاسم أُشْرة
مَأْتَم,الجَمَاعَة من النَّاس في حُزْن أَو فرح، وغَلَبَ استعماله في الأحزان.
سِفْسِقَة,من السَّيْف: فِرِنده أَو طرائقه الَّتِي فيها الفرند.
حَوِير,العداوة والمُضادَّة.
أَلَم,في الفلسفة: أَحد الظَّواهِر الوجدانية الأَساسية. وهي حالٌ نفسية معيَّنة يصعُب تَعْريفُها، وتتميز بإحساسٍ مادِّيٍّ أَو معنويٍّ بعدم الرَّاحة، أَو بالضِّيق، أَو بالمضض. ويقابل اللذة.
إِبْط,باطن المَنْكِب في الإِنْسَان والدَّواب، وباطن الجَناح في الطَّيْر. (مذكَّر و مؤنَّث والتَّذكير أَعلى).
بُرُور,جمع للاسم بَرّ
دَائِرَة,في علم الرِّياضة: شكلٌ مستوٍ محدودٌ بخطٍّ منحنٍ، جميع نُقَطِه على أَبعادٍ مُتَساوِيَة من نقطة داخلية.
مَوَاقِد,جمع للاسم مُسْتَوْقَد
رَبْق,مصدر لفعل رَبَق
شَجَر,نباتٌ يقوم على ساق صُلبة. واحدته: شَجَرة.
نَاهِلَة,المتَرَدِّدَة على المناهِل.
سَانِيَة,الإِبلُ يُستَقَى عليها الماء من الدَّواليب. فهي أَبدًا تسير.
ضُجْعِيّ,الكَسلان الكثير الضُّجُوع.
بَطِر,صفة مشبهة لفعل بَطِر
جَذْمَة,موضع الجَذْم من اليد.
مُمَوِّل,من يُنفق على عَملٍ مَّا.
مُوْمِيَا,الجُثَّة المُحنَّطة في قبور المصريِّين القدماء.
هَكِيْك,المخنَّث.
هَجْهَاج,الشَّديد الهَدير.
عَزَب,من لا زَوج له، رجلاً كانَ أَو امرأةً.
كَنَّارَة,العُود، أَو الدُّفّ الذي تَضرب به النِّسَاء، أَو الطُّنبور، أَو الطَّبل.
جَوَاب,ما يكون رَدّاً على سؤالٍ أَو دعاءٍ أَو دَعْوَى، أَو رسالةٍ أَو اعتراضٍ ونحو ذلك.
رَوَاكِيب,جمع للاسم رَاكُوب
غُبْجَة,الجُرْعة. [وزنًا ومعنى].
مِذْبَح,ما يُذْبح به.
حَجْر,في الشَّرْع: المنْع من التَّصرُّف لصغَرٍ أَو سَفَهٍ، أَو جنونٍ.
زَرِيْبَة,حُفْرَة الصَّائد.
مَلاَعِق,جمع للاسم مِلْعَقَة
عُثُوّ,مصدر لفعل عَثَا
دَارِش,جلدٌ أَسود.
خَدَب,مصدر لفعل خَدِب
سَطْع,كلُّ ما انتَشَرَ أَو ارتَفَع.
مُضِبّ,صفة مشبهة لفعل أَضَبّ
زُجُوّ,مصدر لفعل زَجَا
جَلْه,مصدر لفعل جَلَه
مَرَبّ,الأَرْض الكثيرة النَّبَات.
زَغْبَاء,صفة مشبهة لفعل زَغِب
مَرَاقِب,جمع للاسم مَرْقَب
سَلْوَى,كلُّ ما سَلاَّك.
خُذُوء,مصدر لفعل خَذَأ
مُشَيَّع,ذو الأَتباع والأَنصار.
أَقْفِزَة,جمع للاسم قَفِيز
أَيْطَل,الخاصِرَة.
وَشْك,السُّرعة.
مَذْكُور,من الرِّجَال: ذو الصِّيت والشُّهرة والثَّنَاء.
أَنْهُر,جمع للاسم نَهَار
حُثْحُوث,الحَثّ والحضّ.
صَهَب,مصدر لفعل صَهِب
نَجَائِب,جمع للاسم نَجِيبَة
قَوَافٍ,جمع للاسم قَافِيَة
وَدَق,نُقَطٌ حُمْرٌ تخرج في العَيْن من دمٍ تَشْرَق به، أَو لحمةٌ تَعظُم فيها، أَو مَرَض فيها ليس بالرَّمَد تَرِم منه الأُذُن وتشتدُّ حمرةُ العَيْن. الواحدة: وَدَقَة.
مَطَامِل,جمع للاسم مِطْمَلَة
بُخُل,مصدر لفعل بَخِل
لُمَزَة,من يَعيب النَّاسَ في وجوههم. [للذَّكر والأنثى فيهما].
